created_at,Image,PM2.5,PM10,Temperature,Humidity,aqi,Season,Day_or_Night,aqi_cat
2022-10-22 18:00:00,1,26.115,41.0112,26.95,43.451,43.525,Monsoon,Night,Good
2022-10-22 18:00:00,2,26.823,41.924,26.96,43.463,44.705,Monsoon,Night,Good
2022-10-22 18:00:00,3,26.823,41.3698,26.98,43.566,44.705,Monsoon,Night,Good
2022-10-22 18:00:00,4,27.118,41.0438,26.99,43.598,45.19666667,Monsoon,Night,Good
2022-10-22 18:00:00,5,26.882,40.1962,26.96,43.676,44.80333333,Monsoon,Night,Good
2022-10-22 18:00:00,6,26.764,39.5116,26.97,43.757,44.60666667,Monsoon,Night,Good
2022-10-22 18:00:00,7,27,40.0332,26.97,43.859,45,Monsoon,Night,Good
2022-10-22 18:00:00,8,26.351,39.3486,26.93,43.804,43.91833333,Monsoon,Night,Good
2022-10-22 18:00:00,9,25.879,39.6094,26.96,43.696,43.13166667,Monsoon,Night,Good
2022-10-22 18:00:00,10,25.112,39.8376,26.97,43.515,41.85333333,Monsoon,Night,Good
2022-10-22 18:01:00,11,23.755,40.3918,26.98,43.383,40.3918,Monsoon,Night,Good
2022-10-22 18:01:00,12,22.988,38.6966,26.97,43.383,38.6966,Monsoon,Night,Good
2022-10-22 18:01:00,13,23.637,41.0112,26.97,43.353,41.0112,Monsoon,Night,Good
2022-10-22 18:01:00,14,24.05,41.6632,26.97,43.342,41.6632,Monsoon,Night,Good
2022-10-22 18:01:00,15,23.991,40.457,26.96,43.29,40.457,Monsoon,Night,Good
2022-10-22 18:01:00,16,24.109,40.0658,26.95,43.34,40.18166667,Monsoon,Night,Good
2022-10-22 18:01:00,17,24.581,40.0332,26.96,43.401,40.96833333,Monsoon,Night,Good
2022-10-22 18:01:00,18,24.876,40.5874,26.96,43.432,41.46,Monsoon,Night,Good
2022-10-22 18:01:00,19,24.817,38.99,26.95,43.462,41.36166667,Monsoon,Night,Good
2022-10-22 18:01:00,20,25.407,38.7618,26.96,43.503,42.345,Monsoon,Night,Good
2022-10-22 18:01:00,21,26.115,39.2508,26.97,43.515,43.525,Monsoon,Night,Good
2022-10-22 18:02:00,22,27.354,41.1742,26.99,43.627,45.59,Monsoon,Night,Good
2022-10-22 18:02:00,23,27.531,42.087,26.98,43.657,45.885,Monsoon,Night,Good
2022-10-22 18:02:00,24,27.767,44.2712,26.99,43.698,46.27833333,Monsoon,Night,Good
2022-10-22 18:02:00,25,27.295,44.369,26.98,43.77,45.49166667,Monsoon,Night,Good
2022-10-22 18:02:00,26,27.354,46.3576,26.98,43.77,46.3576,Monsoon,Night,Good
2022-10-22 18:02:00,27,28.062,48.0854,26.98,43.789,48.0854,Monsoon,Night,Good
2022-10-22 18:02:00,28,28.829,48.9656,26.98,43.729,48.9656,Monsoon,Night,Good
2022-10-22 18:02:00,29,28.77,49.7806,26.97,43.87,49.7806,Monsoon,Night,Good
2022-10-22 18:02:00,30,27.59,46.488,26.96,43.939,46.488,Monsoon,Night,Good
2022-10-22 18:02:00,31,26.351,45.0862,26.94,43.603,45.0862,Monsoon,Night,Good
2022-10-22 18:02:00,32,25.289,42.0218,26.94,43.501,42.14833333,Monsoon,Night,Good
2022-10-22 18:03:00,33,21.336,37.1644,26.92,43.215,37.1644,Monsoon,Night,Good
2022-10-22 18:03:00,34,21.159,36.545,26.92,43.215,36.545,Monsoon,Night,Good
2022-10-22 18:03:00,35,21.513,37.5882,26.92,43.307,37.5882,Monsoon,Night,Good
2022-10-22 18:03:00,36,21.985,38.6966,26.92,43.367,38.6966,Monsoon,Night,Good
2022-10-22 18:03:00,37,22.752,40.2288,26.92,43.377,40.2288,Monsoon,Night,Good
2022-10-22 18:03:00,38,22.575,39.4464,26.92,43.307,39.4464,Monsoon,Night,Good
2022-10-22 18:03:00,39,22.28,39.5442,26.94,43.309,39.5442,Monsoon,Night,Good
2022-10-22 18:03:00,40,22.103,38.5336,26.94,43.399,38.5336,Monsoon,Night,Good
2022-10-22 18:03:00,41,22.339,37.9794,26.93,43.409,37.9794,Monsoon,Night,Good
2022-10-22 18:03:00,42,22.634,38.1424,26.94,43.379,38.1424,Monsoon,Night,Good
2022-10-22 18:04:00,43,23.224,39.2834,26.95,43.329,39.2834,Monsoon,Night,Good
2022-10-22 18:04:00,44,24.227,40.9786,26.94,43.369,40.9786,Monsoon,Night,Good
2022-10-22 18:04:00,45,24.876,41.3698,26.93,43.378,41.46,Monsoon,Night,Good
2022-10-22 18:04:00,46,25.82,42.6086,26.95,43.431,43.03333333,Monsoon,Night,Good
2022-10-22 18:04:00,47,26.823,43.7496,26.95,43.502,44.705,Monsoon,Night,Good
2022-10-22 18:04:00,48,27.531,43.9778,26.93,43.571,45.885,Monsoon,Night,Good
2022-10-22 18:04:00,49,27.944,42.5434,26.96,43.564,46.57333333,Monsoon,Night,Good
2022-10-22 18:04:00,50,28.357,42.576,26.97,43.597,47.26166667,Monsoon,Night,Good
2022-10-22 18:04:00,51,28.829,43.1954,26.98,43.627,48.04833333,Monsoon,Night,Good
2022-10-22 18:04:00,52,29.065,42.5434,26.98,43.647,48.44166667,Monsoon,Night,Good
2022-10-22 18:04:00,53,29.36,41.7936,26.98,43.698,48.93333333,Monsoon,Night,Good
2022-10-22 18:05:00,54,30.835,44.1408,26.97,43.706,51.39166667,Monsoon,Night,Satisfactory
2022-10-22 18:05:00,55,31.838,45.1514,26.94,43.725,53.06333333,Monsoon,Night,Satisfactory
2022-10-22 18:05:00,56,32.192,45.4448,26.92,43.753,53.65333333,Monsoon,Night,Satisfactory
2022-10-22 18:05:00,57,32.664,46.1294,27,43.72,54.44,Monsoon,Night,Satisfactory
2022-10-22 18:05:00,58,32.546,47.3682,27,43.648,54.24333333,Monsoon,Night,Satisfactory
2022-10-22 18:05:00,59,32.487,48.3462,27.01,43.537,54.145,Monsoon,Night,Satisfactory
2022-10-22 18:05:00,60,31.425,47.792,26.99,43.517,52.375,Monsoon,Night,Satisfactory
2022-10-22 18:05:00,61,30.835,47.9876,27.01,43.508,51.39166667,Monsoon,Night,Satisfactory
2022-10-22 18:05:00,62,30.422,48.444,27.03,43.51,50.70333333,Monsoon,Night,Satisfactory
2022-10-22 18:05:00,63,30.304,49.2916,27.05,43.614,50.50666667,Monsoon,Night,Satisfactory
2022-10-22 18:06:00,64,29.714,49.7806,27.08,43.494,49.7806,Monsoon,Night,Good
2022-10-22 18:06:00,65,29.537,47.8246,27.07,43.331,49.22833333,Monsoon,Night,Good
2022-10-22 18:06:00,66,29.065,46.4228,27.05,43.218,48.44166667,Monsoon,Night,Good
2022-10-22 18:06:00,67,28.357,45.184,27.01,43.143,47.26166667,Monsoon,Night,Good
2022-10-22 18:06:00,68,27.236,43.3258,27.07,43.088,45.39333333,Monsoon,Night,Good
2022-10-22 18:06:00,69,27.295,42.8368,27.08,43.058,45.49166667,Monsoon,Night,Good
2022-10-22 18:06:00,70,27.177,42.1522,27.08,42.956,45.295,Monsoon,Night,Good
2022-10-22 18:06:00,71,26.469,41.3046,27.09,42.581,44.115,Monsoon,Night,Good
2022-10-22 18:06:00,72,26.174,40.946,27.12,42.431,43.62333333,Monsoon,Night,Good
2022-10-22 18:06:00,73,25.879,41.6632,27.12,42.258,43.13166667,Monsoon,Night,Good
2022-10-22 18:06:00,74,25.348,40.3266,27.12,42.228,42.24666667,Monsoon,Night,Good
2022-10-22 18:07:00,75,25.407,39.316,27.11,42.247,42.345,Monsoon,Night,Good
2022-10-22 18:07:00,76,25.466,39.6746,27.13,42.3,42.44333333,Monsoon,Night,Good
2022-10-22 18:07:00,77,25.466,38.8922,27.14,42.362,42.44333333,Monsoon,Night,Good
2022-10-22 18:07:00,78,25.702,38.6314,27.13,42.401,42.83666667,Monsoon,Night,Good
2022-10-22 18:07:00,79,25.466,37.5556,27.14,42.465,42.44333333,Monsoon,Night,Good
2022-10-22 18:07:00,80,24.699,36.6428,27.17,42.426,41.165,Monsoon,Night,Good
